od_f,od_nf,in_degree_nf,out_degree_f,SCH_DEP_DTMZ_nf
GIGPTY,PTYADZ,12,34,1569941160000000000
ROSPTY,PTYADZ,12,22,1569941160000000000
LIMPTY,PTYADZ,12,23,1569941160000000000
VVIPTY,PTYADZ,12,23,1569941160000000000
GRUPTY,PTYADZ,12,24,1569941160000000000
MIAPTY,PTYADZ,12,20,1569941160000000000
JFKPTY,PTYADZ,12,17,1569941160000000000
LIMPTY,PTYADZ,12,26,1569941160000000000
LIMPTY,PTYADZ,12,22,1569941160000000000
SCLPTY,PTYADZ,12,19,1569941160000000000
SCLPTY,PTYADZ,12,19,1569941160000000000
GRUPTY,PTYADZ,12,27,1569941160000000000
SJOPTY,PTYASU,25,20,1569964680000000000
CLOPTY,PTYASU,25,22,1569964680000000000
SFOPTY,PTYASU,25,26,1569964680000000000
CUNPTY,PTYASU,25,21,1569964680000000000
BOGPTY,PTYASU,25,24,1569964680000000000
JFKPTY,PTYASU,25,22,1569964680000000000
SDQPTY,PTYASU,25,20,1569964680000000000
BOSPTY,PTYASU,25,25,1569964680000000000
TGUPTY,PTYASU,25,14,1569964680000000000
MCOPTY,PTYASU,25,19,1569964680000000000
UIOPTY,PTYASU,25,26,1569964680000000000
IADPTY,PTYASU,25,21,1569964680000000000
GUAPTY,PTYASU,25,14,1569964680000000000
MIAPTY,PTYASU,25,17,1569964680000000000
YYZPTY,PTYASU,25,25,1569964680000000000
CCSPTY,PTYASU,25,19,1569964680000000000
CTGPTY,PTYASU,25,20,1569964680000000000
CUNPTY,PTYASU,25,18,1569964680000000000
SJUPTY,PTYASU,25,24,1569964680000000000
MEXPTY,PTYASU,25,23,1569964680000000000
ORDPTY,PTYASU,25,27,1569964680000000000
SALPTY,PTYASU,25,17,1569964680000000000
HAVPTY,PTYASU,25,23,1569964680000000000
YULPTY,PTYASU,25,21,1569964680000000000
MIAPTY,PTYASU,25,14,1569964680000000000
MDEPTY,PTYAUA,23,23,1569939360000000000
BSBPTY,PTYAUA,23,25,1569939360000000000
SDQPTY,PTYAUA,23,24,1569939360000000000
BOGPTY,PTYAUA,23,18,1569939360000000000
POSPTY,PTYAUA,23,20,1569939360000000000
BAQPTY,PTYAUA,23,13,1569939360000000000
CNFPTY,PTYAUA,23,21,1569939360000000000
SJOPTY,PTYAUA,23,19,1569939360000000000
HAVPTY,PTYAUA,23,9,1569939360000000000
CLOPTY,PTYAUA,23,28,1569939360000000000
ROSPTY,PTYAUA,23,22,1569939360000000000
MDZPTY,PTYAUA,23,23,1569939360000000000
CCSPTY,PTYAUA,23,22,1569939360000000000
EZEPTY,PTYAUA,23,31,1569939360000000000
CORPTY,PTYAUA,23,26,1569939360000000000
ASUPTY,PTYAUA,23,21,1569939360000000000
SJUPTY,PTYAUA,23,24,1569939360000000000
LIMPTY,PTYAUA,23,26,1569939360000000000
MVDPTY,PTYAUA,23,22,1569939360000000000
LIMPTY,PTYAUA,23,22,1569939360000000000
POAPTY,PTYAUA,23,24,1569939360000000000
SCLPTY,PTYAUA,23,19,1569939360000000000
GRUPTY,PTYAUA,23,27,1569939360000000000
GRUPTY,PTYBAQ,10,25,1569947040000000000
SFOPTY,PTYBAQ,10,26,1569947040000000000
EZEPTY,PTYBAQ,10,22,1569947040000000000
SJOPTY,PTYBAQ,10,18,1569947040000000000
SCLPTY,PTYBAQ,10,21,1569947040000000000
SCLPTY,PTYBAQ,10,23,1569947040000000000
SJUPTY,PTYBAQ,10,24,1569947040000000000
MEXPTY,PTYBAQ,10,27,1569947040000000000
MIAPTY,PTYBAQ,10,14,1569947040000000000
GRUPTY,PTYBAQ,10,27,1569947040000000000
SJOPTY,PTYBOG,17,16,1569939840000000000
BSBPTY,PTYBOG,17,25,1569939840000000000
SDQPTY,PTYBOG,17,24,1569939840000000000
CNFPTY,PTYBOG,17,21,1569939840000000000
SJOPTY,PTYBOG,17,19,1569939840000000000
GIGPTY,PTYBOG,17,34,1569939840000000000
VVIPTY,PTYBOG,17,23,1569939840000000000
UIOPTY,PTYBOG,17,26,1569939840000000000
CCSPTY,PTYBOG,17,22,1569939840000000000
CORPTY,PTYBOG,17,26,1569939840000000000
ASUPTY,PTYBOG,17,21,1569939840000000000
MIAPTY,PTYBOG,17,20,1569939840000000000
SJUPTY,PTYBOG,17,24,1569939840000000000
JFKPTY,PTYBOG,17,17,1569939840000000000
POAPTY,PTYBOG,17,24,1569939840000000000
SCLPTY,PTYBOG,17,19,1569939840000000000
GRUPTY,PTYBOG,17,27,1569939840000000000
SFOPTY,PTYBOG,19,26,1569948540000000000
POSPTY,PTYBOG,19,20,1569948540000000000
LASPTY,PTYBOG,19,27,1569948540000000000
EZEPTY,PTYBOG,19,22,1569948540000000000
SJOPTY,PTYBOG,19,18,1569948540000000000
SDQPTY,PTYBOG,19,22,1569948540000000000
CUNPTY,PTYBOG,19,21,1569948540000000000
MTYPTY,PTYBOG,19,20,1569948540000000000
SCLPTY,PTYBOG,19,23,1569948540000000000
CCSPTY,PTYBOG,19,22,1569948540000000000
HAVPTY,PTYBOG,19,6,1569948540000000000
GDLPTY,PTYBOG,19,18,1569948540000000000
SJOPTY,PTYBOG,19,12,1569948540000000000
LIMPTY,PTYBOG,19,26,1569948540000000000
MSYPTY,PTYBOG,19,17,1569948540000000000
SALPTY,PTYBOG,19,17,1569948540000000000
MEXPTY,PTYBOG,19,27,1569948540000000000
GUAPTY,PTYBOG,19,19,1569948540000000000
MIAPTY,PTYBOG,19,14,1569948540000000000
SJOPTY,PTYBOG,21,20,1569961800000000000
GRUPTY,PTYBOG,21,25,1569961800000000000
DAVPTY,PTYBOG,21,12,1569961800000000000
MGAPTY,PTYBOG,21,14,1569961800000000000
CUNPTY,PTYBOG,21,21,1569961800000000000
